cueEjemplo,targetEjemplo,cue,response
bufalo,bovino,ciervo,bovino
bufalo,bovino,perro,canino
bufalo,bovino,pato,ave
bufalo,bovino,aguila,rapaz
bufalo,bovino,halcon,rapaz
bufalo,bovino,zorro,canino
mariposa,insecto,hormiga,insecto
mariposa,insecto,castor,roedor
mariposa,insecto,abeja,insecto
mariposa,insecto,bufalo,bovino
mariposa,insecto,gato,felino
mariposa,insecto,pollo,ave
mariposa,insecto,chimpance,primate
mariposa,insecto,chinchilla,roedor
mariposa,insecto,cobra,culebra
mariposa,insecto,cucaracha,insecto
mariposa,insecto,vaca,bovino
mariposa,insecto,coyote,canino
mariposa,insecto,ciervo,bovino
mariposa,insecto,perro,canino
mariposa,insecto,pato,ave
mariposa,insecto,aguila,rapaz
mariposa,insecto,halcon,rapaz
mariposa,insecto,zorro,canino
gato,felino,hormiga,insecto
gato,felino,castor,roedor
gato,felino,abeja,insecto
gato,felino,bufalo,bovino
gato,felino,mariposa,insecto
gato,felino,pollo,ave
gato,felino,chimpance,primate
gato,felino,chinchilla,roedor
gato,felino,cobra,culebra
gato,felino,cucaracha,insecto
gato,felino,vaca,bovino
gato,felino,coyote,canino
gato,felino,ciervo,bovino
gato,felino,perro,canino
gato,felino,pato,ave
gato,felino,aguila,rapaz
gato,felino,halcon,rapaz
gato,felino,zorro,canino
pollo,ave,hormiga,insecto
pollo,ave,castor,roedor
pollo,ave,abeja,insecto
pollo,ave,bufalo,bovino
pollo,ave,mariposa,insecto
pollo,ave,gato,felino
pollo,ave,chimpance,primate
pollo,ave,chinchilla,roedor
pollo,ave,cobra,culebra
pollo,ave,cucaracha,insecto
pollo,ave,vaca,bovino
pollo,ave,coyote,canino
pollo,ave,ciervo,bovino
pollo,ave,perro,canino
pollo,ave,pato,ave
pollo,ave,aguila,rapaz
pollo,ave,halcon,rapaz
pollo,ave,zorro,canino
chimpance,primate,hormiga,insecto
chimpance,primate,castor,roedor
chimpance,primate,abeja,insecto
chimpance,primate,bufalo,bovino
chimpance,primate,mariposa,insecto
chimpance,primate,gato,felino
chimpance,primate,pollo,ave
chimpance,primate,chinchilla,roedor
chimpance,primate,cobra,culebra
chimpance,primate,cucaracha,insecto
chimpance,primate,vaca,bovino
chimpance,primate,coyote,canino
chimpance,primate,ciervo,bovino
chimpance,primate,perro,canino
chimpance,primate,pato,ave
chimpance,primate,aguila,rapaz
chimpance,primate,halcon,rapaz
chimpance,primate,zorro,canino
chinchilla,roedor,hormiga,insecto
chinchilla,roedor,castor,roedor
chinchilla,roedor,abeja,insecto
chinchilla,roedor,bufalo,bovino
chinchilla,roedor,mariposa,insecto
chinchilla,roedor,gato,felino
chinchilla,roedor,pollo,ave
chinchilla,roedor,chimpance,primate
chinchilla,roedor,cobra,culebra
chinchilla,roedor,cucaracha,insecto
chinchilla,roedor,vaca,bovino
chinchilla,roedor,coyote,canino
chinchilla,roedor,ciervo,bovino
chinchilla,roedor,perro,canino
chinchilla,roedor,pato,ave
chinchilla,roedor,aguila,rapaz
chinchilla,roedor,halcon,rapaz
chinchilla,roedor,zorro,canino
cobra,culebra,hormiga,insecto
cobra,culebra,castor,roedor
cobra,culebra,abeja,insecto
cobra,culebra,bufalo,bovino
cobra,culebra,mariposa,insecto
cobra,culebra,gato,felino
cobra,culebra,pollo,ave
cobra,culebra,chimpance,primate
cobra,culebra,chinchilla,roedor
cobra,culebra,cucaracha,insecto
cobra,culebra,vaca,bovino
cobra,culebra,coyote,canino
cobra,culebra,ciervo,bovino
cobra,culebra,perro,canino
cobra,culebra,pato,ave
cobra,culebra,aguila,rapaz
cobra,culebra,halcon,rapaz
cobra,culebra,zorro,canino
cucaracha,insecto,hormiga,insecto
cucaracha,insecto,castor,roedor
cucaracha,insecto,abeja,insecto
cucaracha,insecto,bufalo,bovino
cucaracha,insecto,mariposa,insecto
cucaracha,insecto,gato,felino
cucaracha,insecto,pollo,ave
cucaracha,insecto,chimpance,primate
cucaracha,insecto,chinchilla,roedor
cucaracha,insecto,cobra,culebra
cucaracha,insecto,vaca,bovino
cucaracha,insecto,coyote,canino
cucaracha,insecto,ciervo,bovino
cucaracha,insecto,perro,canino
cucaracha,insecto,pato,ave
cucaracha,insecto,aguila,rapaz
cucaracha,insecto,halcon,rapaz
cucaracha,insecto,zorro,canino
vaca,bovino,hormiga,insecto
vaca,bovino,castor,roedor
vaca,bovino,abeja,insecto
vaca,bovino,bufalo,bovino
vaca,bovino,mariposa,insecto
vaca,bovino,gato,felino
vaca,bovino,pollo,ave
vaca,bovino,chimpance,primate
vaca,bovino,chinchilla,roedor
vaca,bovino,cobra,culebra
vaca,bovino,cucaracha,insecto
vaca,bovino,coyote,canino
vaca,bovino,ciervo,bovino
vaca,bovino,perro,canino
vaca,bovino,pato,ave
vaca,bovino,aguila,rapaz
vaca,bovino,halcon,rapaz
vaca,bovino,zorro,canino
coyote,canino,hormiga,insecto
coyote,canino,castor,roedor
coyote,canino,abeja,insecto
coyote,canino,bufalo,bovino
coyote,canino,mariposa,insecto
coyote,canino,gato,felino
coyote,canino,pollo,ave
coyote,canino,chimpance,primate
coyote,canino,chinchilla,roedor
coyote,canino,cobra,culebra
coyote,canino,cucaracha,insecto
coyote,canino,vaca,bovino
coyote,canino,ciervo,bovino
coyote,canino,perro,canino
coyote,canino,pato,ave
coyote,canino,aguila,rapaz
coyote,canino,halcon,rapaz
coyote,canino,zorro,canino
ciervo,bovino,hormiga,insecto
ciervo,bovino,castor,roedor
ciervo,bovino,abeja,insecto
ciervo,bovino,bufalo,bovino
ciervo,bovino,mariposa,insecto
ciervo,bovino,gato,felino
ciervo,bovino,pollo,ave
ciervo,bovino,chimpance,primate
ciervo,bovino,chinchilla,roedor
ciervo,bovino,cobra,culebra
ciervo,bovino,cucaracha,insecto
ciervo,bovino,vaca,bovino
ciervo,bovino,coyote,canino
ciervo,bovino,perro,canino
ciervo,bovino,pato,ave
ciervo,bovino,aguila,rapaz
ciervo,bovino,halcon,rapaz
ciervo,bovino,zorro,canino
perro,canino,hormiga,insecto
perro,canino,castor,roedor
perro,canino,abeja,insecto
perro,canino,bufalo,bovino
perro,canino,mariposa,insecto
perro,canino,gato,felino
perro,canino,pollo,ave
perro,canino,chimpance,primate
perro,canino,chinchilla,roedor
perro,canino,cobra,culebra
perro,canino,cucaracha,insecto
perro,canino,vaca,bovino
perro,canino,coyote,canino
perro,canino,ciervo,bovino
perro,canino,pato,ave
perro,canino,aguila,rapaz
perro,canino,halcon,rapaz
perro,canino,zorro,canino
pato,ave,hormiga,insecto
pato,ave,castor,roedor
pato,ave,abeja,insecto
pato,ave,bufalo,bovino
pato,ave,mariposa,insecto
pato,ave,gato,felino
pato,ave,pollo,ave
pato,ave,chimpance,primate
pato,ave,chinchilla,roedor
pato,ave,cobra,culebra
pato,ave,cucaracha,insecto
pato,ave,vaca,bovino
pato,ave,coyote,canino
pato,ave,ciervo,bovino
pato,ave,perro,canino
pato,ave,aguila,rapaz
pato,ave,halcon,rapaz
pato,ave,zorro,canino
aguila,rapaz,hormiga,insecto
aguila,rapaz,castor,roedor
aguila,rapaz,abeja,insecto
aguila,rapaz,bufalo,bovino
aguila,rapaz,mariposa,insecto
aguila,rapaz,gato,felino
aguila,rapaz,pollo,ave
aguila,rapaz,chimpance,primate
aguila,rapaz,chinchilla,roedor
aguila,rapaz,cobra,culebra
aguila,rapaz,cucaracha,insecto
aguila,rapaz,vaca,bovino
aguila,rapaz,coyote,canino
aguila,rapaz,ciervo,bovino
aguila,rapaz,perro,canino
aguila,rapaz,pato,ave
aguila,rapaz,halcon,rapaz
aguila,rapaz,zorro,canino
halcon,rapaz,hormiga,insecto
halcon,rapaz,castor,roedor
halcon,rapaz,abeja,insecto
halcon,rapaz,bufalo,bovino
halcon,rapaz,mariposa,insecto
halcon,rapaz,gato,felino
halcon,rapaz,pollo,ave
halcon,rapaz,chimpance,primate
halcon,rapaz,chinchilla,roedor
halcon,rapaz,cobra,culebra
halcon,rapaz,cucaracha,insecto
halcon,rapaz,vaca,bovino
halcon,rapaz,coyote,canino
halcon,rapaz,ciervo,bovino
halcon,rapaz,perro,canino
halcon,rapaz,pato,ave
halcon,rapaz,aguila,rapaz
halcon,rapaz,zorro,canino
zorro,canino,hormiga,insecto
zorro,canino,castor,roedor
zorro,canino,abeja,insecto
zorro,canino,bufalo,bovino
zorro,canino,mariposa,insecto
zorro,canino,gato,felino
zorro,canino,pollo,ave
zorro,canino,chimpance,primate
zorro,canino,chinchilla,roedor
zorro,canino,cobra,culebra
zorro,canino,cucaracha,insecto
zorro,canino,vaca,bovino
zorro,canino,coyote,canino
zorro,canino,ciervo,bovino
zorro,canino,perro,canino
zorro,canino,pato,ave
zorro,canino,aguila,rapaz
zorro,canino,halcon,rapaz
